topicId,rank,docId,filename
4,6,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
4,7,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
4,8,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
4,9,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
4,10,26,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch73.txt
4,11,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
4,12,30,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch23.txt
4,13,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
4,14,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
4,15,38,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch1.txt
4,16,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
4,17,27,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch1.txt
4,18,29,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch2.txt
4,19,4,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch50.txt
4,20,9,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch1.txt
4,21,11,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch2.txt
4,22,28,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch18.txt
4,23,15,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch1.txt
4,24,5,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch1.txt
